,Text Tweet
0,"presiden jokowi menyampaikan untuk utamakan keselamatan bersama dengan tidak mudik
KerjaKeras Maju Negeriku https://t.co/7pKzdNB2MD"
1,Ada yang galau mikirin mudik juga tida??? 😂😂😂
2,"Hai sobat Polri....
Pemerintah telah menetapkan larangan mudik lebaran pada tanggal 6-17 Mei 2021 sebagai langkah u… https://t.co/jng7x3DC81"
3,Beli tiket mudik ae lah
4,"Mudik dilarang
Tempat wisata dibuka

A THREAD"
5,jangan mudik dulu ya KerjaKeras Maju Negeriku https://t.co/KKEcbDdxgJ
6,"Wakil Presiden KH Maaruf Amin menyampaikan bahwa Mudik itu Sunah, menjaga diri dari covid-19 adalah wajib

___… https://t.co/9htqpgjXdN"
7,"Wakil Presiden KH Maaruf Amin menyampaikan bahwa Mudik silaturahim itu Sunah, sementara menjaga diri dari bahaya wa… https://t.co/oFrWBc8qza"
8,"Mudik tradisi masyarakat Indonesia jelang Hari Raya Idul Fitri, namun perlu sobat kamtibmas ketahui bahwa berdasark… https://t.co/NraChXTTbx"
9,"Tunda mudik, tunggu pandemi berakhir agar kita dapat bangkit bersama https://t.co/tx5dZ3xVJI"
10,"Hai sobat Polri....
Pemerintah telah menetapkan larangan mudik lebaran pada tanggal 6-17 Mei 2021 sebagai langkah u… https://t.co/kuK0tLFwmF"
11,"@M45BRO____ Krn posisi kalimat nya beda, jd artine yo beda. 
Tanpa mudik ora iso balik.
Klu tanpamu dik, kasihan de… https://t.co/dOvtft8G43"
12,"Mudik sunah. Tapi jaga diri dari Covid-19 wajib. 

____
@jokowi #IndonesiaMaju https://t.co/zL9ISQonVc"
13,"Kangen Keluarga, Mudik?
JANGAN DULU YA

Sayangi Dirimu, Sayangi Keluargamu
Mari Bersama-sama Kita Cegah Penyebaran… https://t.co/3n7pDGaPzv"
14,Pelarangan mudik oleh pemerintah justru untuk menjaga keselamatan masyarakat Indonesia https://t.co/tuUUZ0Ew0u
15,"@Partono_ADjem Kalo mudik luar pulau Jawa aman!!!
Covid udah nyaman di kota https://t.co/0f3XNVqmDC"
